Model,CV_F1,Accuracy,Precision,Recall,F1
XGBoost,0.6353808918706211,0.9086538461538461,0.9534883720930233,0.47398843930635837,0.6332046332046332
Extra Trees,0.6148402836124293,0.8997596153846154,0.8571428571428571,0.476878612716763,0.6128133704735376
Random Forest,0.588463064975829,0.8783653846153846,0.6754716981132075,0.5173410404624278,0.5859247135842881
Autoencoder,,0.8754807692307692,0.6916299559471366,0.45375722543352603,0.5479930191972077
Isolation Forest,,0.7721153846153846,0.3411910669975186,0.39739884393063585,0.3671562082777036
